genome_drug.genome_name	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.measurement_sign	genome_drug.measurement_value	genome_drug.measurement_unit	genome_drug.resistant_phenotype	genome_drug.laboratory_typing_platform
Escherichia coli BIDMC 58	1438668.3	minocycline				Resistant	
Escherichia coli BIDMC 9	1328439.3	ceftazidime				Resistant	
Escherichia coli BWH 34	1328433.3	cefotaxime				Resistant	
Escherichia coli BWH 40	1328434.3	ampicillin				Resistant	
Escherichia coli BWH 40	1328434.3	cefotaxime				Resistant	
Escherichia coli BWH 40	1328434.3	ceftazidime				Resistant	
Escherichia coli BWH 34	1328433.3	ampicillin/sulbactam				Resistant	
Escherichia coli BWH 40	1328434.3	ampicillin/sulbactam				Resistant	
Escherichia coli BWH 40	1328434.3	trimethoprim/sulfamethoxazole				Resistant	
Escherichia coli BIDMC 43a	1400156.3	doxycycline				Susceptible	
Escherichia coli BIDMC 64	1438672.3	minocycline				Susceptible	
Escherichia coli BIDMC 82	1445862.3	doxycycline				Susceptible	
Escherichia coli BWH 32	1328432.3	cephalothin				Susceptible	
Escherichia coli BWH 32	1328432.3	cefotaxime				Susceptible	
Escherichia coli BWH 32	1328432.3	tigecycline				Susceptible	
Escherichia coli BWH 40	1328434.3	nitrofurantoin				Susceptible	
Escherichia coli BWH 32	1328432.3	trimethoprim/sulfamethoxazole				Susceptible	
Escherichia coli BIDMC 38	1328449.3	piperacillin/tazobactam				Susceptible	
Escherichia coli BIDMC 39	1328450.3	piperacillin/tazobactam				Susceptible	
Escherichia coli BIDMC 17B	1328442.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 37	1328448.3	ampicillin		4	mg/L		
Escherichia coli BIDMC 37	1328448.3	ceftriaxone	<=	1	mg/L		
Escherichia coli BIDMC 38	1328449.3	cefazolin	<=	4	mg/L		
Escherichia coli BIDMC 38	1328449.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 39	1328450.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 43a	1400156.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 43a	1400156.3	cefazolin	>	32	mg/L		
Escherichia coli BIDMC 43b	1400157.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 43b	1400157.3	ceftriaxone		4	mg/L		
Escherichia coli BIDMC 43b	1400157.3	tigecycline		0.19	mg/L		
Escherichia coli BIDMC 49a	1400158.3	cefazolin	<=	4	mg/L		
Escherichia coli BIDMC 58	1438668.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 59	1438669.3	ampicillin	<=	2	mg/L		
Escherichia coli BIDMC 59	1438669.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 59	1438669.3	ceftriaxone	<=	1	mg/L		
Escherichia coli BIDMC 59	1438669.3	nitrofurantoin	<=	16	mg/L		
Escherichia coli BIDMC 62	1438670.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 62	1438670.3	cefazolin	>	32	mg/L		
Escherichia coli BIDMC 62	1438670.3	ceftazidime	>	32	mg/L		
Escherichia coli BIDMC 63	1438671.3	ampicillin		8	mg/L		
Escherichia coli BIDMC 63	1438671.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 64	1438672.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 65	1438673.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 65	1438673.3	ceftriaxone	<=	1	mg/L		
Escherichia coli BIDMC 70	1438674.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 70	1438674.3	nitrofurantoin	<=	16	mg/L		
Escherichia coli BIDMC 71	1438675.3	cefazolin	<=	4	mg/L		
Escherichia coli BIDMC 71	1438675.3	ceftriaxone	<=	1	mg/L		
Escherichia coli BIDMC 72	1438676.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 72	1438676.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 72	1438676.3	ceftriaxone	<=	1	mg/L		
Escherichia coli BIDMC 72	1438676.3	nitrofurantoin	<=	16	mg/L		
Escherichia coli BIDMC 73	1438677.3	ampicillin	<=	2	mg/L		
Escherichia coli BIDMC 73	1438677.3	cefazolin	<=	4	mg/L		
Escherichia coli BIDMC 73	1438677.3	ceftazidime	<=	1	mg/L		
Escherichia coli BIDMC 74	1438678.3	ampicillin	>	16	mg/L		
Escherichia coli BIDMC 74	1438678.3	cefazolin	>	32	mg/L		
Escherichia coli BIDMC 74	1438678.3	ceftazidime		16	mg/L		
Escherichia coli BIDMC 74	1438678.3	ceftriaxone		16	mg/L		
Escherichia coli BIDMC 75	1438679.3	ampicillin	>	16	mg/L		
